FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL,Has_fight
Matthew Semelsberger,73.0,170.0,75.0,Switch,1992-11-23,http://ufcstats.com/fighter-details/4aa58269d0664b5b,True
Andrei Semenov,72.0,185.0,,Orthodox,1977-06-17,http://ufcstats.com/fighter-details/5f2f0da6fd6a84fd,True
Mackens Semerzier,69.0,145.0,72.0,Orthodox,1980-11-03,http://ufcstats.com/fighter-details/51b1e2fd9872005b,True
Ivan Serati,72.0,205.0,,Orthodox,,http://ufcstats.com/fighter-details/b23fca14c7b79935,True
Matt Serra,66.0,170.0,68.0,Orthodox,1974-06-02,http://ufcstats.com/fighter-details/86dfed7cc24a9fa7,True
Nick Serra,69.0,170.0,,Orthodox,1978-03-27,http://ufcstats.com/fighter-details/1975c2272ba40e71,True
Adrian Serrano,68.0,170.0,,,1963-12-23,http://ufcstats.com/fighter-details/e7ec11096eac0282,True
Fredy Serrano,63.0,125.0,65.0,Orthodox,1979-09-22,http://ufcstats.com/fighter-details/0ccab7c889ede9ea,True
Dan Severn,74.0,250.0,,Southpaw,1958-06-08,http://ufcstats.com/fighter-details/c670aa48827d6be6,True
Rosi Sexton,63.0,135.0,,Orthodox,1977-07-16,http://ufcstats.com/fighter-details/5dfe71ade71f3a4b,True
Edmen Shahbazyan,74.0,185.0,74.0,Orthodox,1997-11-20,http://ufcstats.com/fighter-details/4144798612ef96e5,True
Liliya Shakirova,64.0,125.0,65.0,Orthodox,1991-10-24,http://ufcstats.com/fighter-details/f300763147320d12,True
Kamal Shalorus,68.0,155.0,68.0,Orthodox,1972-08-27,http://ufcstats.com/fighter-details/ece280745f8727b8,True
Ken Shamrock,73.0,205.0,72.0,Orthodox,1964-02-11,http://ufcstats.com/fighter-details/63b65af1c5cb02cb,True
Frank Shamrock,70.0,185.0,,Orthodox,1972-12-08,http://ufcstats.com/fighter-details/fcaae0385b514f11,True
Eric Shelton,66.0,125.0,68.0,Orthodox,1991-02-02,http://ufcstats.com/fighter-details/a0c64f272b65d441,True
Sean Sherk,66.0,155.0,67.0,Orthodox,1973-08-05,http://ufcstats.com/fighter-details/029880cdbf5ca089,True
Chase Sherman,76.0,250.0,78.0,Orthodox,1989-11-16,http://ufcstats.com/fighter-details/01b352b6a9074d5c,True
Valentina Shevchenko,65.0,125.0,66.0,Southpaw,1988-03-07,http://ufcstats.com/fighter-details/132deb59abae64b1,True
Antonina Shevchenko,68.0,125.0,67.0,Southpaw,1984-11-20,http://ufcstats.com/fighter-details/d7338bcb141abd2c,True
Jake Shields,72.0,170.0,72.0,Orthodox,1979-01-09,http://ufcstats.com/fighter-details/fe435e440b5de0ff,True
Shunichi Shimizu,65.0,135.0,,Orthodox,1985-01-31,http://ufcstats.com/fighter-details/10657c60ce349e0f,True
Wade Shipp,75.0,245.0,,Orthodox,1975-02-09,http://ufcstats.com/fighter-details/a9a314cc77d90b6e,True
Josh Shockley,73.0,155.0,,Orthodox,1989-11-15,http://ufcstats.com/fighter-details/1d36f1ac66cf689d,True
Josh Shockman,76.0,235.0,,Southpaw,1980-12-29,http://ufcstats.com/fighter-details/821cd80aab70d5f9,True
Liudvik Sholinian,70.0,135.0,71.0,Orthodox,1990-01-20,http://ufcstats.com/fighter-details/1a54231796e24a3f,True
Jack Shore,68.0,135.0,71.0,Orthodox,1995-02-06,http://ufcstats.com/fighter-details/b8a85389d115e35a,True
Sam Sicilia,68.0,145.0,67.0,Orthodox,1986-02-01,http://ufcstats.com/fighter-details/b8aef0faf4ce9b31,True
Steven Siler,71.0,145.0,70.0,Orthodox,1987-02-15,http://ufcstats.com/fighter-details/d188a3b817860ec6,True
Assuerio Silva,70.0,241.0,,Orthodox,1974-06-18,http://ufcstats.com/fighter-details/e091482fa6648261,True
Anderson Silva,74.0,185.0,77.0,Southpaw,1975-04-14,http://ufcstats.com/fighter-details/1f454354805b6f75,True
Wanderlei Silva,71.0,205.0,74.0,Orthodox,1976-07-03,http://ufcstats.com/fighter-details/a1f6999fe57236e0,True
Thiago Silva,74.0,205.0,74.0,Orthodox,1982-11-12,http://ufcstats.com/fighter-details/2924886ee9c4c527,True
Jay Silva,74.0,185.0,,Southpaw,,http://ufcstats.com/fighter-details/53bb0d40905b87c0,True
Antonio Silva,76.0,264.0,82.0,Orthodox,1979-09-14,http://ufcstats.com/fighter-details/8349d55cdecd393a,True
Erick Silva,72.0,170.0,74.0,Orthodox,1984-06-21,http://ufcstats.com/fighter-details/5866fc86183a9fb8,True
Leandro Silva,69.0,155.0,72.0,Orthodox,1985-11-11,http://ufcstats.com/fighter-details/159da492e000afbf,True
Claudio Silva,71.0,170.0,71.0,Southpaw,1982-09-06,http://ufcstats.com/fighter-details/6f7c616b98e18c29,True
Wagner Silva,72.0,170.0,,Orthodox,1987-02-07,http://ufcstats.com/fighter-details/fb79582c410d049e,True
Joaquim Silva,68.0,155.0,69.0,Southpaw,1989-02-05,http://ufcstats.com/fighter-details/ae7fe94f117f98cf,True
Felipe Silva,72.0,155.0,77.0,Orthodox,1984-05-08,http://ufcstats.com/fighter-details/1b38a2b897f6209c,True
Bruno Silva,64.0,125.0,65.0,Orthodox,1990-03-16,http://ufcstats.com/fighter-details/294aa73dbf37d281,True
Bruno Silva Blindado,72.0,185.0,74.0,Orthodox,1989-07-13,http://ufcstats.com/fighter-details/12ebd7d157e91701,True
Gabriel Silva,66.0,135.0,71.0,Orthodox,1994-08-26,http://ufcstats.com/fighter-details/002ca196477ce572,True
Natalia Silva,64.0,125.0,,,1997-02-03,http://ufcstats.com/fighter-details/262d32ebda89efc4,True
Karine Silva,65.0,125.0,67.0,Orthodox,1993-12-02,http://ufcstats.com/fighter-details/9d62c2d8ee151f08,True
Douglas Silva de Andrade,67.0,135.0,68.0,Orthodox,1985-06-22,http://ufcstats.com/fighter-details/3a314d9fa7c6825d,True
Marcus Silveira,75.0,242.0,,Orthodox,,http://ufcstats.com/fighter-details/f717b6002486f73f,True
Elias Silverio,71.0,155.0,73.0,Orthodox,1986-09-22,http://ufcstats.com/fighter-details/52ba464d9068d871,True
Jamey Simmons,66.0,135.0,70.0,Orthodox,1992-09-11,http://ufcstats.com/fighter-details/f0fad0e9f3b65752,True
Ricky Simon,66.0,135.0,69.0,Orthodox,1992-08-31,http://ufcstats.com/fighter-details/5987b2458f4b5290,True
Aaron Simpson,72.0,170.0,73.0,Orthodox,1974-07-20,http://ufcstats.com/fighter-details/d5f820c11a121050,True
Wes Sims,82.0,260.0,,Orthodox,1979-08-04,http://ufcstats.com/fighter-details/e0f7c4f3f67bc808,True
Tony Sims,71.0,155.0,70.0,Southpaw,1985-10-14,http://ufcstats.com/fighter-details/57bad6a84230f0c9,True
Lodune Sincaid,69.0,185.0,,Orthodox,1973-05-07,http://ufcstats.com/fighter-details/265589bdd93e7ce5,True
Rory Singer,74.0,185.0,77.0,Orthodox,1976-05-28,http://ufcstats.com/fighter-details/546015aa2ad945fd,True
Elvis Sinosic,75.0,205.0,77.0,Orthodox,1971-02-13,http://ufcstats.com/fighter-details/817e0bdf08efce2e,True
Dennis Siver,66.0,145.0,70.0,Orthodox,1979-01-13,http://ufcstats.com/fighter-details/5f87a5c00b3d17ed,True
Chas Skelly,71.0,145.0,72.0,Orthodox,1985-05-11,http://ufcstats.com/fighter-details/4bd6b4800070b069,True
Joe Slick,72.0,199.0,,Orthodox,1977-10-17,http://ufcstats.com/fighter-details/80e6d71e14c1d356,True
Maurice Smith,74.0,221.0,,Orthodox,1961-12-13,http://ufcstats.com/fighter-details/33e33d51f289d2a1,True
Patrick Smith,74.0,225.0,,Orthodox,1963-08-28,http://ufcstats.com/fighter-details/46c8ec317aff28ac,True
Scott Smith,72.0,185.0,70.0,Orthodox,1979-05-21,http://ufcstats.com/fighter-details/3410cf010558dc8b,True
Trevor Smith,75.0,185.0,75.0,Orthodox,1981-01-05,http://ufcstats.com/fighter-details/f797f0c57a83353e,True
Anthony Smith,76.0,205.0,76.0,Orthodox,1988-07-26,http://ufcstats.com/fighter-details/d4c9dcd330403612,True
Colton Smith,72.0,155.0,71.0,Orthodox,1987-08-14,http://ufcstats.com/fighter-details/2e25c1d983c26311,True
Gilbert Smith,69.0,185.0,,Southpaw,1981-10-19,http://ufcstats.com/fighter-details/54ed8dc6f8c31207,True
Leslie Smith,69.0,135.0,66.0,Orthodox,1982-08-17,http://ufcstats.com/fighter-details/76984112f697631f,True
Devonte Smith,69.0,155.0,76.0,Orthodox,1993-07-30,http://ufcstats.com/fighter-details/207773daeb4afa7b,True
Cole Smith,71.0,135.0,67.0,Orthodox,1989-04-05,http://ufcstats.com/fighter-details/56709e66f1c6008f,True
Dmitrii Smoliakov,74.0,253.0,74.0,Switch,1982-08-05,http://ufcstats.com/fighter-details/75afb06215a07341,True
Louis Smolka,69.0,135.0,68.0,Orthodox,1991-07-16,http://ufcstats.com/fighter-details/d2bc285ead803db0,True
Richie Smullen,69.0,155.0,68.0,Orthodox,1991-08-17,http://ufcstats.com/fighter-details/f75c5ca0d91b9115,True
Peter Sobotta,72.0,170.0,75.0,Southpaw,1987-01-11,http://ufcstats.com/fighter-details/1fcfc3709fe58151,True
Renato Sobral,73.0,205.0,75.0,Orthodox,1975-09-07,http://ufcstats.com/fighter-details/d468288756ae3982,True
Rameau Thierry Sokoudjou,70.0,205.0,78.0,Orthodox,1984-04-18,http://ufcstats.com/fighter-details/d1152823307d7e7c,True
Joe Solecki,69.0,155.0,70.0,Orthodox,1993-08-27,http://ufcstats.com/fighter-details/af65aa688d13eedf,True
Joe Son,64.0,236.0,,Orthodox,1970-11-22,http://ufcstats.com/fighter-details/83b743fedde154fb,True
Song Kenan,72.0,170.0,71.0,Orthodox,1990-03-10,http://ufcstats.com/fighter-details/32490e80ddab1e5a,True
Song Yadong,68.0,135.0,67.0,Orthodox,1997-12-02,http://ufcstats.com/fighter-details/efb96bf3e9ada36f,True
Chael Sonnen,73.0,205.0,73.0,Southpaw,1977-04-03,http://ufcstats.com/fighter-details/48d1f690b763934c,True
Jin Soo Son,66.0,135.0,69.0,Orthodox,1993-04-01,http://ufcstats.com/fighter-details/7c9c6a884be167fe,True
Sean Soriano,69.0,145.0,70.0,Orthodox,1989-10-06,http://ufcstats.com/fighter-details/bd5403efbaa445c0,True
Punahele Soriano,71.0,185.0,72.0,Southpaw,1992-11-22,http://ufcstats.com/fighter-details/64facb6cc564262d,True
Dmitry Sosnovskiy,75.0,240.0,77.0,Orthodox,1989-07-06,http://ufcstats.com/fighter-details/85ff1b9471d35238,True
Ben Sosoli,72.0,265.0,72.0,Southpaw,1989-12-10,http://ufcstats.com/fighter-details/326f94d6cfb1bf25,True
Krzysztof Soszynski,73.0,205.0,77.0,Open Stance,1977-08-02,http://ufcstats.com/fighter-details/59583ff832fe9d68,True
George Sotiropoulos,70.0,155.0,71.0,Orthodox,1977-07-09,http://ufcstats.com/fighter-details/896c322f56b8be5a,True
Greg Soto,71.0,170.0,73.0,Orthodox,1986-06-03,http://ufcstats.com/fighter-details/9c669abd35b2522f,True
Alex Soto,68.0,135.0,,Southpaw,1984-02-15,http://ufcstats.com/fighter-details/d18dbcb0f8e2b55d,True
Joe Soto,66.0,135.0,65.0,Orthodox,1987-03-22,http://ufcstats.com/fighter-details/a4e85a58fbce64b2,True
Andre Soukhamthath,69.0,135.0,70.0,Orthodox,1988-10-23,http://ufcstats.com/fighter-details/d0e50a3d1b250708,True
Bobby Southworth,74.0,205.0,,Orthodox,1969-12-16,http://ufcstats.com/fighter-details/aee8eecfc4bfb1e7,True
Jacare Souza,73.0,185.0,72.0,Orthodox,1979-12-07,http://ufcstats.com/fighter-details/7a703c565ccaa18f,True
Edimilson Souza,72.0,145.0,74.0,Orthodox,1984-10-17,http://ufcstats.com/fighter-details/6c7020b859c7a3ce,True
Livinha Souza,63.0,115.0,63.0,Orthodox,1991-03-11,http://ufcstats.com/fighter-details/dab8cfbb6b1db10a,True
Bruno Souza,70.0,145.0,70.0,Orthodox,1996-03-07,http://ufcstats.com/fighter-details/0e5c4e72237461bb,True
Chris Spang,74.0,170.0,,Orthodox,1987-11-26,http://ufcstats.com/fighter-details/411d012af19ecb59,True
Ryan Spann,77.0,205.0,79.0,Orthodox,1991-08-24,http://ufcstats.com/fighter-details/a67f5afa8d6a1b80,True
Tommy Speer,70.0,170.0,71.0,Orthodox,1984-08-20,http://ufcstats.com/fighter-details/1411c630ba711b64,True
Sean Spencer,70.0,170.0,74.0,Orthodox,1987-06-25,http://ufcstats.com/fighter-details/ab850a77a0fa487d,True
Felicia Spencer,66.0,145.0,68.0,Orthodox,1990-11-29,http://ufcstats.com/fighter-details/39d91e95949de3d9,True
Eric Spicely,73.0,185.0,73.0,Orthodox,1986-09-29,http://ufcstats.com/fighter-details/b9664eae2ac75262,True
Daniel Spitz,79.0,245.0,82.0,Orthodox,1990-07-31,http://ufcstats.com/fighter-details/f86cb5f25d545e0e,True
Serghei Spivac,75.0,260.0,78.0,Orthodox,1995-01-24,http://ufcstats.com/fighter-details/e2f6b2769aaedd6c,True
Daniel Spohn,76.0,205.0,79.0,Southpaw,1984-10-12,http://ufcstats.com/fighter-details/87f3bbf52e6c9dc9,True
Pete Spratt,69.0,170.0,,Orthodox,1971-01-09,http://ufcstats.com/fighter-details/c3ea8deeba00462b,True
Austin Springer,68.0,145.0,71.0,Orthodox,1987-05-12,http://ufcstats.com/fighter-details/37cc294027f55e4d,True
Georges St-Pierre,71.0,185.0,76.0,Orthodox,1981-05-19,http://ufcstats.com/fighter-details/6506c1d34da9c013,True
Andreas Stahl,71.0,170.0,,Orthodox,1988-05-20,http://ufcstats.com/fighter-details/69a400af4420cd6a,True
Ron Stallings,74.0,170.0,75.0,Southpaw,1983-01-25,http://ufcstats.com/fighter-details/6dd758d34da8d254,True
Cody Stamann,66.0,145.0,64.0,Orthodox,1989-11-09,http://ufcstats.com/fighter-details/bf7ad5628363eec9,True
Cristina Stanciu,63.0,115.0,,Orthodox,1994-03-29,http://ufcstats.com/fighter-details/175852708cb55776,True
Brian Stann,73.0,205.0,74.0,Orthodox,1980-09-24,http://ufcstats.com/fighter-details/579fcdfcabd23a7b,True
Josh Stansbury,74.0,205.0,74.0,Orthodox,1984-11-19,http://ufcstats.com/fighter-details/30ea504870f8597b,True
Clifford Starks,72.0,185.0,78.0,Orthodox,1981-04-25,http://ufcstats.com/fighter-details/5abf827d62f98fee,True
Kalib Starnes,75.0,185.0,74.0,Orthodox,1975-01-06,http://ufcstats.com/fighter-details/c8136ab8aa32c974,True
Laureano Staropoli,73.0,185.0,71.0,Orthodox,1993-02-27,http://ufcstats.com/fighter-details/a12a8314adc1c1c9,True
Damian Stasiak,65.0,135.0,70.0,Orthodox,1990-02-20,http://ufcstats.com/fighter-details/42a7e90605df3c8a,True
Dominique Steele,70.0,170.0,74.0,Orthodox,1988-01-27,http://ufcstats.com/fighter-details/68c11c27d4d56572,True
Steve Steinbeiss,75.0,185.0,75.0,Orthodox,1981-05-05,http://ufcstats.com/fighter-details/0b5b6876c2a4723f,True
Dmitri Stepanov,75.0,217.0,,Orthodox,,http://ufcstats.com/fighter-details/738acab0c6934dd8,True
Jeremy Stephens,69.0,145.0,71.0,Orthodox,1986-05-25,http://ufcstats.com/fighter-details/18968f97ad34f15c,True
Aljamain Sterling,67.0,135.0,71.0,Orthodox,1989-07-31,http://ufcstats.com/fighter-details/cb696ebfb6598724,True
Joe Stevenson,67.0,145.0,70.0,Orthodox,1982-06-15,http://ufcstats.com/fighter-details/79899ecf62020f6d,True
Maia Stevenson,64.0,115.0,62.0,Orthodox,1982-03-19,http://ufcstats.com/fighter-details/2fee10d5cf86bfca,True
Darren Stewart,72.0,205.0,74.0,Orthodox,1990-12-30,http://ufcstats.com/fighter-details/a17ad5a5048e8c3f,True
Kyle Stewart,72.0,170.0,76.0,Orthodox,1989-01-31,http://ufcstats.com/fighter-details/bb61823f76361297,True
Alex Stiebling,74.0,205.0,,Southpaw,,http://ufcstats.com/fighter-details/df5a77121ba84a5d,True
Dan Stittgen,73.0,170.0,,Orthodox,1980-11-17,http://ufcstats.com/fighter-details/cc3147b49c7d7d92,True
Denis Stojnic,72.0,245.0,,Orthodox,1980-02-02,http://ufcstats.com/fighter-details/a421465acbe59c77,True
Julija Stoliarenko,67.0,135.0,66.0,,1993-04-08,http://ufcstats.com/fighter-details/a78a87d8c2bbb1cb,True
Dustin Stoltzfus,72.0,185.0,75.0,Orthodox,1991-11-15,http://ufcstats.com/fighter-details/71505842fb6455c3,True
Niklas Stolze,72.0,170.0,75.0,Switch,1992-12-28,http://ufcstats.com/fighter-details/62f7097c04311193,True
Ken Stone,68.0,135.0,71.0,Southpaw,1982-10-08,http://ufcstats.com/fighter-details/fbf0947399d14323,True
Rick Story,69.0,170.0,71.0,Southpaw,1984-08-28,http://ufcstats.com/fighter-details/5b5307450405abf0,True
Darko Stosic,72.0,205.0,76.0,Orthodox,1992-02-09,http://ufcstats.com/fighter-details/025f0b1b58fbad01,True
Greg Stott,67.0,220.0,,Southpaw,,http://ufcstats.com/fighter-details/91181b29be041f1c,True
Curtis Stout,73.0,185.0,,Southpaw,1973-11-07,http://ufcstats.com/fighter-details/e09dbbd5fe3f0fe2,True
Sam Stout,69.0,155.0,70.0,Orthodox,1984-04-23,http://ufcstats.com/fighter-details/501b07aec9b8fc2d,True
Jesse Strader,67.0,135.0,70.0,Orthodox,1991-05-29,http://ufcstats.com/fighter-details/8c39367b53eadf8a,True
Dave Strasser,70.0,170.0,,Orthodox,1969-07-13,http://ufcstats.com/fighter-details/980b4e712489098e,True
Gerald Strebendt,69.0,155.0,,Orthodox,1979-03-01,http://ufcstats.com/fighter-details/04f9fe830cf13482,True
Sean Strickland,73.0,185.0,76.0,Orthodox,1991-02-27,http://ufcstats.com/fighter-details/0d8011111be000b2,True
Mark Striegl,68.0,135.0,70.0,Southpaw,1988-06-23,http://ufcstats.com/fighter-details/ef1182eb28c17d4e,True
Hans Stringer,75.0,205.0,,Orthodox,1987-07-06,http://ufcstats.com/fighter-details/523f6ad11dbe9b53,True
Stefan Struve,83.0,265.0,84.0,Orthodox,1988-02-18,http://ufcstats.com/fighter-details/ebc1f40e00e0c481,True
Mike Stumpf,70.0,170.0,,,1986-08-01,http://ufcstats.com/fighter-details/c0c36a5b3d5bbdd5,True
Tatiana Suarez,65.0,115.0,66.0,Southpaw,1990-12-19,http://ufcstats.com/fighter-details/b08012bbe542592a,True
Genki Sudo,69.0,155.0,,Orthodox,1978-03-08,http://ufcstats.com/fighter-details/99dd0147dc4ef80c,True
George Sullivan,72.0,170.0,73.0,Orthodox,1981-03-13,http://ufcstats.com/fighter-details/6c7e25571490aa3b,True
Amar Suloev,69.0,183.0,,Orthodox,1976-07-01,http://ufcstats.com/fighter-details/7aa88401f93ce836,True
Sumudaerji,68.0,125.0,72.0,Southpaw,1996-01-20,http://ufcstats.com/fighter-details/3cf18e01cb6cbde3,True
Martin Svensson,73.0,155.0,,,1985-04-25,http://ufcstats.com/fighter-details/bcad7223af3c19da,True
Cub Swanson,68.0,145.0,70.0,Orthodox,1983-11-02,http://ufcstats.com/fighter-details/d247691a6c0e9034,True
Mike Swick,73.0,170.0,77.0,Orthodox,1979-06-19,http://ufcstats.com/fighter-details/9fe85152f351e737,True
Floyd Sword,72.0,185.0,,Orthodox,1976-08-24,http://ufcstats.com/fighter-details/5330fe7e4c3af81c,True
Bentley Syler,64.0,125.0,,Orthodox,1982-12-22,http://ufcstats.com/fighter-details/abd2109bc4cb0291,True
Tim Sylvia,80.0,265.0,80.0,Orthodox,1976-03-05,http://ufcstats.com/fighter-details/2a542ee8a8b83559,True
Eugenio Tadeu,68.0,160.0,,Orthodox,,http://ufcstats.com/fighter-details/f70144caea5c4c80,True
Justin Tafa,72.0,264.0,74.0,Southpaw,1993-12-13,http://ufcstats.com/fighter-details/e13abac8089a801a,True
Khalid Taha,65.0,135.0,69.0,Orthodox,1992-02-15,http://ufcstats.com/fighter-details/b4537562f88ac582,True
Mairbek Taisumov,69.0,155.0,73.0,Orthodox,1988-08-08,http://ufcstats.com/fighter-details/8f5c8850b2484173,True
Yoshiki Takahashi,71.0,199.0,,Southpaw,1969-03-13,http://ufcstats.com/fighter-details/6420efac0578988b,True
Daiju Takase,72.0,170.0,,Southpaw,1978-04-20,http://ufcstats.com/fighter-details/4f74c8be51db8a37,True
Oleg Taktarov,72.0,210.0,,Orthodox,1967-08-26,http://ufcstats.com/fighter-details/1dc56b59cb28425d,True
Nordine Taleb,73.0,170.0,74.0,Orthodox,1981-06-10,http://ufcstats.com/fighter-details/49858bf46dabf6fb,True
Issei Tamura,65.0,135.0,63.0,Orthodox,1984-03-12,http://ufcstats.com/fighter-details/57bf89d42364d39e,True
Jason Tan,70.0,170.0,,Orthodox,1981-12-17,http://ufcstats.com/fighter-details/ad3041e61896b975,True
Michinori Tanaka,65.0,135.0,67.0,Orthodox,1990-10-04,http://ufcstats.com/fighter-details/64788ee44b062ded,True
Evan Tanner,72.0,185.0,74.0,Orthodox,1971-02-11,http://ufcstats.com/fighter-details/8f2d9ee27f206f1f,True
Miesha Tate,66.0,135.0,65.0,Orthodox,1986-08-18,http://ufcstats.com/fighter-details/b96619b3acd7d9da,True
Thiago Tavares,67.0,145.0,70.0,Orthodox,1984-11-08,http://ufcstats.com/fighter-details/8a59d346dc976a10,True
Brad Tavares,73.0,185.0,74.0,Orthodox,1987-12-21,http://ufcstats.com/fighter-details/0c6d9ea8306c029e,True
Paul Taylor,72.0,155.0,72.0,Orthodox,1979-12-15,http://ufcstats.com/fighter-details/9b74de674c355425,True
Jesse Taylor,72.0,170.0,73.0,Orthodox,1983-01-02,http://ufcstats.com/fighter-details/dd992d569aaebee6,True
Danielle Taylor,60.0,115.0,60.0,Orthodox,1989-10-25,http://ufcstats.com/fighter-details/b76c6268dc1d3c05,True
James Te Huna,74.0,185.0,75.0,Orthodox,1981-09-29,http://ufcstats.com/fighter-details/f5431394fb284bb9,True
Glover Teixeira,74.0,205.0,76.0,Orthodox,1979-10-28,http://ufcstats.com/fighter-details/7ff97850e8c32bda,True
John Teixeira,67.0,145.0,,Orthodox,1986-11-18,http://ufcstats.com/fighter-details/86061eaba822bfea,True
Tra Telligman,74.0,233.0,,Orthodox,1965-02-07,http://ufcstats.com/fighter-details/1dab0d1d81dd06db,True
David Terrell,73.0,185.0,,Southpaw,1978-01-09,http://ufcstats.com/fighter-details/4123fd4dcc1fe937,True
David Teymur,69.0,155.0,73.0,Southpaw,1989-05-01,http://ufcstats.com/fighter-details/2747c60e42d9d75f,True
Daniel Teymur,65.0,145.0,69.0,Orthodox,1988-02-03,http://ufcstats.com/fighter-details/fbf0537e420e698e,True
Motonobu Tezuka,67.0,135.0,,Southpaw,1987-08-29,http://ufcstats.com/fighter-details/d34636a85f0f4c90,True
Jason Thacker,70.0,185.0,,Orthodox,1975-08-18,http://ufcstats.com/fighter-details/f0264252e191da22,True
Brandon Thatch,74.0,170.0,74.0,Switch,1985-07-11,http://ufcstats.com/fighter-details/638cfec7ec559d6e,True
Elias Theodorou,73.0,185.0,75.0,Orthodox,1988-05-31,http://ufcstats.com/fighter-details/34f88592c0ab7a54,True
Paulo Thiago,71.0,170.0,74.0,Orthodox,1981-01-25,http://ufcstats.com/fighter-details/30a09e43f15f1d75,True
Din Thomas,69.0,155.0,,Orthodox,1976-09-28,http://ufcstats.com/fighter-details/40a604761ca7d64d,True
Ryan Thomas,72.0,170.0,,Orthodox,1984-11-05,http://ufcstats.com/fighter-details/b732b326c362fb62,True
Nick Thompson,73.0,170.0,74.0,Orthodox,1981-06-23,http://ufcstats.com/fighter-details/7d3caf0f96f1b33d,True
Oli Thompson,73.0,242.0,,Orthodox,1980-01-02,http://ufcstats.com/fighter-details/dcdd511ff757f15c,True
Stephen Thompson,72.0,170.0,75.0,Orthodox,1983-02-11,http://ufcstats.com/fighter-details/4a28cb716c19157a,True
Josh Thomson,70.0,155.0,71.0,Orthodox,1978-09-21,http://ufcstats.com/fighter-details/a566371ba2ad7152,True
Simeon Thoresen,73.0,170.0,79.0,Orthodox,1984-03-14,http://ufcstats.com/fighter-details/fea8acf9bfcf09ec,True
Gleison Tibau,70.0,155.0,71.0,Southpaw,1983-10-07,http://ufcstats.com/fighter-details/75e5fec9f72910ef,True
Chris Tickle,69.0,155.0,,,1982-02-01,http://ufcstats.com/fighter-details/1d1b85389a05df69,True
Nolan Ticman,66.0,125.0,,Orthodox,1988-05-17,http://ufcstats.com/fighter-details/9eb069062a0cfc13,True
Darren Till,72.0,185.0,74.0,Southpaw,1992-12-24,http://ufcstats.com/fighter-details/9ce6d5a03af801b7,True
Dusko Todorovic,73.0,185.0,74.0,Orthodox,1994-05-19,http://ufcstats.com/fighter-details/866fd7b1a6c90e7f,True
Kazuki Tokudome,71.0,155.0,73.0,Southpaw,1987-03-04,http://ufcstats.com/fighter-details/c4af2feb4b58bc3b,True
Tyler Toner,68.0,145.0,70.0,Orthodox,1983-03-31,http://ufcstats.com/fighter-details/8e893f269d5696b2,True
James Toney,69.0,220.0,,Orthodox,1968-08-24,http://ufcstats.com/fighter-details/d10b35152277cf98,True
Ilia Topuria,67.0,145.0,69.0,Orthodox,1997-01-21,http://ufcstats.com/fighter-details/54f64b5e283b0ce7,True
Anthony Torres,68.0,170.0,,Orthodox,1978-07-31,http://ufcstats.com/fighter-details/918d9d89d4d52acc,True
Miguel Torres,69.0,135.0,76.0,Orthodox,1981-01-18,http://ufcstats.com/fighter-details/33b2f68ef95252e0,True
Ronys Torres,67.0,155.0,,Orthodox,1975-08-13,http://ufcstats.com/fighter-details/cce79e827569f26e,True
Tecia Torres,61.0,115.0,60.0,Orthodox,1989-08-16,http://ufcstats.com/fighter-details/31ef8b67e13495b3,True
Alex Torres,70.0,145.0,,Orthodox,1988-05-29,http://ufcstats.com/fighter-details/e4e0f310b3cf23a8,True
Jose Torres,64.0,125.0,65.0,Orthodox,1992-08-02,http://ufcstats.com/fighter-details/d2036f31c035e0d1,True
Manuel Torres,70.0,155.0,73.0,,1995-03-25,http://ufcstats.com/fighter-details/2e7878927067fdca,True
Salim Touahri,70.0,170.0,72.0,Orthodox,1989-09-28,http://ufcstats.com/fighter-details/cbf1c7ba5408a66f,True
Dequan Townsend,75.0,205.0,79.0,Orthodox,1986-05-11,http://ufcstats.com/fighter-details/3f7dab21b6c971bc,True
Roberto Traven,75.0,227.0,,Orthodox,1968-09-16,http://ufcstats.com/fighter-details/20ec0061400178ca,True
Francisco Trevino,69.0,155.0,70.0,Orthodox,1981-12-17,http://ufcstats.com/fighter-details/97a6bbe6e6566a94,True
Frank Trigg,69.0,170.0,71.0,Southpaw,1972-05-07,http://ufcstats.com/fighter-details/d2d37e8eeb3abc8d,True
Francisco Trinaldo,69.0,170.0,70.0,Southpaw,1978-08-24,http://ufcstats.com/fighter-details/a8283a4f415e1eb9,True
Michael Trizano,71.0,145.0,71.0,Orthodox,1991-12-31,http://ufcstats.com/fighter-details/5bf31a46becc1204,True
Tor Troeng,74.0,185.0,,Orthodox,1983-01-25,http://ufcstats.com/fighter-details/8abf70f79e9e27c2,True
Abel Trujillo,68.0,155.0,70.0,Orthodox,1983-09-18,http://ufcstats.com/fighter-details/e14b5aa06eea9653,True
Arman Tsarukyan,67.0,155.0,72.0,Orthodox,1996-10-11,http://ufcstats.com/fighter-details/eae48ff31db420c2,True
Chris Tuchscherer,74.0,258.0,76.0,Orthodox,1975-09-08,http://ufcstats.com/fighter-details/df05aa15b2d66f57,True
Jon Tuck,71.0,155.0,73.0,Orthodox,1984-08-28,http://ufcstats.com/fighter-details/53ec9cb470e1a4ea,True
Gavin Tucker,66.0,145.0,66.0,Southpaw,1986-06-17,http://ufcstats.com/fighter-details/da816417a579a0bd,True
