FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL,Has_fight,AGE
Alex Reyes,71.0,170.0,73.0,Orthodox,1986-10-02,http://ufcstats.com/fighter-details/dc07493a87dc0a6e,True,36.0
Johnny Rhodes,72.0,210.0,,Orthodox,,http://ufcstats.com/fighter-details/319fa1bd3176bded,True,
Mike Rhodes,73.0,170.0,74.0,Orthodox,1989-12-04,http://ufcstats.com/fighter-details/b7ad576b8ae115e6,True,33.0
Amanda Ribas,63.0,125.0,66.0,Orthodox,1993-08-26,http://ufcstats.com/fighter-details/beecb672a279223e,True,29.0
Mike Ricci,72.0,155.0,76.0,Southpaw,1986-03-18,http://ufcstats.com/fighter-details/3c921b1a30fdcbdd,True,36.0
Alex Ricci,71.0,155.0,,Orthodox,1982-07-21,http://ufcstats.com/fighter-details/bf9bc96336922271,True,40.0
Tabatha Ricci,61.0,115.0,61.0,Orthodox,1995-02-21,http://ufcstats.com/fighter-details/d25240135aee03e5,True,27.0
Brad Riddell,67.0,155.0,71.0,Orthodox,1991-09-30,http://ufcstats.com/fighter-details/37ed1ab2f8b819f4,True,31.0
Matthew Riddle,73.0,170.0,76.0,Southpaw,1986-01-14,http://ufcstats.com/fighter-details/d023ae89a2a4a41e,True,37.0
Joe Riggs,72.0,185.0,70.0,Southpaw,1982-09-23,http://ufcstats.com/fighter-details/d512d9f204059f57,True,40.0
Aaron Riley,68.0,155.0,69.0,Southpaw,1980-12-09,http://ufcstats.com/fighter-details/f2c8ebbeafd45f2b,True,42.0
Jordan Rinaldi,70.0,145.0,72.0,Orthodox,1987-09-25,http://ufcstats.com/fighter-details/c07efc18b231f170,True,35.0
Nick Ring,72.0,185.0,74.0,Southpaw,1979-02-10,http://ufcstats.com/fighter-details/b13da0b1a3aed3e7,True,43.0
Mike Rio,70.0,155.0,70.0,Orthodox,1981-07-06,http://ufcstats.com/fighter-details/af90b10c785ced3e,True,41.0
Diego Rivas,68.0,145.0,69.0,Orthodox,1991-11-11,http://ufcstats.com/fighter-details/09f579be4520394a,True,31.0
Jorge Rivera,73.0,185.0,73.0,Orthodox,1972-02-28,http://ufcstats.com/fighter-details/cb46dface0e28a2c,True,50.0
Dante Rivera,73.0,185.0,,Southpaw,1974-12-08,http://ufcstats.com/fighter-details/288aaa8f82040e02,True,48.0
Francisco Rivera,68.0,135.0,70.0,Orthodox,1981-10-08,http://ufcstats.com/fighter-details/7ea4a9f07df33a45,True,41.0
Jimmie Rivera,64.0,135.0,68.0,Orthodox,1989-06-29,http://ufcstats.com/fighter-details/9c907996820d2d69,True,33.0
Irwin Rivera,66.0,135.0,67.0,Southpaw,1989-02-14,http://ufcstats.com/fighter-details/06a80a685ea98573,True,33.0
Jerome Rivera,70.0,125.0,72.0,Southpaw,1995-04-22,http://ufcstats.com/fighter-details/c9587d81e1d33925,True,27.0
Pedro Rizzo,73.0,241.0,,Orthodox,1974-05-03,http://ufcstats.com/fighter-details/b44f39a5c6596953,True,48.0
Karl Roberson,73.0,185.0,74.0,Southpaw,1990-10-04,http://ufcstats.com/fighter-details/37d5b176d438d2a5,True,32.0
Andre Roberts,74.0,345.0,,Orthodox,1965-02-24,http://ufcstats.com/fighter-details/a54a35a670d8e852,True,57.0
David Roberts,73.0,170.0,,Orthodox,1975-11-15,http://ufcstats.com/fighter-details/775bad6d700d2302,True,47.0
Joey Roberts,74.0,200.0,,,,http://ufcstats.com/fighter-details/c058823a2595ab09,True,
Tyrone Roberts,69.0,185.0,,Orthodox,,http://ufcstats.com/fighter-details/d1e6a6536ee62517,True,
Ryan Roberts,66.0,155.0,,Orthodox,1978-07-16,http://ufcstats.com/fighter-details/35dc6220b113b7ec,True,44.0
Daniel Roberts,70.0,170.0,74.0,Southpaw,1980-08-05,http://ufcstats.com/fighter-details/22edaf53ad59a967,True,42.0
Buddy Roberts,74.0,185.0,,Orthodox,1982-10-17,http://ufcstats.com/fighter-details/b2a2da86546ddb19,True,40.0
Danny Roberts,73.0,170.0,74.0,Southpaw,1987-07-14,http://ufcstats.com/fighter-details/a6cba6bb66c1a8c9,True,35.0
Roosevelt Roberts,74.0,155.0,73.0,Orthodox,1994-02-11,http://ufcstats.com/fighter-details/37c5366d18ed6c05,True,28.0
Kenny Robertson,70.0,170.0,74.0,Orthodox,1984-02-14,http://ufcstats.com/fighter-details/6e0273f9478be71e,True,38.0
Gillian Robertson,65.0,125.0,63.0,Orthodox,1995-05-17,http://ufcstats.com/fighter-details/38c7f72747f4f712,True,27.0
Mark Robinson,72.0,265.0,,Orthodox,,http://ufcstats.com/fighter-details/4604ab1de9058474,True,
Colin Robinson,76.0,243.0,,Orthodox,1968-11-27,http://ufcstats.com/fighter-details/1a1a4d7a29041d77,True,54.0
Alvin Robinson,69.0,155.0,68.0,Southpaw,1982-07-16,http://ufcstats.com/fighter-details/cbe79765d44bd172,True,40.0
Vagner Rocha,70.0,155.0,73.0,Orthodox,1982-06-06,http://ufcstats.com/fighter-details/d403b1a6f278c95e,True,40.0
Carlos Eduardo Rocha,70.0,170.0,73.0,Orthodox,1981-07-12,http://ufcstats.com/fighter-details/4f736494fc733095,True,41.0
Keith Rockel,72.0,185.0,,Orthodox,,http://ufcstats.com/fighter-details/c75b99887c8c3f5a,True,
Luke Rockhold,75.0,205.0,77.0,Southpaw,1984-10-17,http://ufcstats.com/fighter-details/00e11b5c8b7bfeeb,True,38.0
Gregory Rodrigues,75.0,185.0,75.0,Orthodox,1992-02-17,http://ufcstats.com/fighter-details/d1c65d2cf2925ddd,True,30.0
Kleydson Rodrigues,66.0,125.0,67.0,Orthodox,1995-10-22,http://ufcstats.com/fighter-details/102a8fdf8cbf7467,True,27.0
Paul Rodriguez,67.0,155.0,,Orthodox,,http://ufcstats.com/fighter-details/26eddcda9d6b2ffe,True,
Ricco Rodriguez,76.0,265.0,,Orthodox,1977-08-19,http://ufcstats.com/fighter-details/50cc91ce2982785d,True,45.0
Manuel Rodriguez,69.0,170.0,,Orthodox,1985-04-25,http://ufcstats.com/fighter-details/5a6e4d2f0c76a242,True,37.0
Yair Rodriguez,71.0,145.0,71.0,Orthodox,1992-10-06,http://ufcstats.com/fighter-details/cbf5e6f231b55443,True,30.0
Mike Rodriguez,76.0,205.0,82.0,Southpaw,1988-11-28,http://ufcstats.com/fighter-details/18b602842a24f7c5,True,34.0
Marina Rodriguez,66.0,115.0,65.0,Orthodox,1987-04-29,http://ufcstats.com/fighter-details/cd2c4d30c6e13b47,True,35.0
Daniel Rodriguez,73.0,170.0,74.0,Southpaw,1986-12-31,http://ufcstats.com/fighter-details/8a1f3b5c526cd6e6,True,36.0
Ray Rodriguez,67.0,135.0,70.0,Orthodox,1987-12-10,http://ufcstats.com/fighter-details/90e0985df05e51bc,True,35.0
Drako Rodriguez,68.0,135.0,69.0,Orthodox,1996-06-16,http://ufcstats.com/fighter-details/dc3b9cf7641b7ab6,True,26.0
Victor Rodriguez,65.0,125.0,67.0,Switch,1992-09-05,http://ufcstats.com/fighter-details/f6e5972c9d16c40e,True,30.0
Piera Rodriguez,63.0,115.0,63.0,Orthodox,1992-11-11,http://ufcstats.com/fighter-details/e375cb5caf4717b6,True,30.0
Christian Rodriguez,67.0,135.0,71.0,Orthodox,1997-12-17,http://ufcstats.com/fighter-details/5ec591b78349ba7e,True,25.0
Pete Rodriguez,69.0,170.0,71.0,Switch,1996-11-13,http://ufcstats.com/fighter-details/776d4262c4da38bf,True,26.0
Nick Roehrick,74.0,205.0,,Orthodox,1987-07-06,http://ufcstats.com/fighter-details/7195e2a932686f82,True,35.0
Marcos Rogerio de Lima,73.0,253.0,75.0,Orthodox,1985-06-25,http://ufcstats.com/fighter-details/ab943cd2c3c17825,True,37.0
Max Rohskopf,73.0,155.0,71.0,Orthodox,1994-09-27,http://ufcstats.com/fighter-details/59a27d2e6d0802ac,True,28.0
Marcelo Rojo,68.0,135.0,71.0,Orthodox,1988-07-02,http://ufcstats.com/fighter-details/2804ce8dadab5770,True,34.0
Shane Roller,70.0,155.0,72.0,Orthodox,1979-07-14,http://ufcstats.com/fighter-details/75e0d3cc2262b732,True,43.0
Jared Rollins,69.0,170.0,,Orthodox,1977-01-26,http://ufcstats.com/fighter-details/c4b6099f0d25f75e,True,46.0
Alexandr Romanov,74.0,262.0,75.0,Southpaw,1990-12-11,http://ufcstats.com/fighter-details/c0badf3243907e59,True,32.0
Ricardo Romero,72.0,205.0,76.0,Orthodox,1978-04-15,http://ufcstats.com/fighter-details/744e098e065cfdbe,True,44.0
Yoel Romero,72.0,185.0,73.0,Southpaw,1977-04-30,http://ufcstats.com/fighter-details/f77c68bb4be8516d,True,45.0
Mara Romero Borella,66.0,125.0,69.0,Orthodox,1986-06-03,http://ufcstats.com/fighter-details/82cbb809d5ee565c,True,36.0
Juancamilo Ronderos,64.0,125.0,,,1995-02-17,http://ufcstats.com/fighter-details/4a043165cf47cab2,True,27.0
Rong Zhu,69.0,155.0,71.0,Orthodox,2000-03-07,http://ufcstats.com/fighter-details/a13d755965a4ec9f,True,22.0
Jesse Ronson,70.0,155.0,70.0,Southpaw,1985-12-24,http://ufcstats.com/fighter-details/5580771f383e141f,True,37.0
George Roop,73.0,135.0,72.0,Orthodox,1981-11-10,http://ufcstats.com/fighter-details/3c0437fbeda06962,True,41.0
Joao Roque,66.0,155.0,,Orthodox,1971-07-22,http://ufcstats.com/fighter-details/0f6528b461e47462,True,51.0
Aaron Rosa,76.0,205.0,77.0,Orthodox,1983-05-28,http://ufcstats.com/fighter-details/11f8860028b68fcf,True,39.0
Charles Rosa,69.0,145.0,69.0,Switch,1986-08-24,http://ufcstats.com/fighter-details/40093d1d2d78394e,True,36.0
Karol Rosa,65.0,135.0,67.0,Orthodox,1994-12-30,http://ufcstats.com/fighter-details/351c4ec637380ad5,True,28.0
Jake Rosholt,73.0,185.0,,Orthodox,1982-02-09,http://ufcstats.com/fighter-details/4f2fcbefb668689d,True,40.0
Jared Rosholt,74.0,265.0,75.0,Orthodox,1986-08-04,http://ufcstats.com/fighter-details/91ea901c458e95dd,True,36.0
Kristian Rothaermel,72.0,205.0,,Open Stance,1972-01-31,http://ufcstats.com/fighter-details/af49a6c491ca22a3,True,50.0
Ben Rothwell,76.0,265.0,78.0,Orthodox,1981-10-17,http://ufcstats.com/fighter-details/bd58d34e39b7b12a,True,41.0
Khalil Rountree Jr.,73.0,205.0,76.0,Southpaw,1990-02-26,http://ufcstats.com/fighter-details/749f572d1d3161fb,True,32.0
Ronda Rousey,67.0,135.0,66.0,Orthodox,1987-02-01,http://ufcstats.com/fighter-details/8bdac25ce0bb874d,True,35.0
Phil Rowe,75.0,170.0,80.0,Orthodox,1990-07-18,http://ufcstats.com/fighter-details/8e382b585a92affe,True,32.0
Brandon Royval,69.0,125.0,68.0,Southpaw,1992-08-16,http://ufcstats.com/fighter-details/6e15f63b6c2e2c15,True,30.0
Jairzinho Rozenstruik,74.0,242.0,78.0,Orthodox,1988-03-17,http://ufcstats.com/fighter-details/2cd428e9606856fd,True,34.0
Mauricio Rua,73.0,205.0,76.0,Orthodox,1981-11-25,http://ufcstats.com/fighter-details/140745cbbcb023ac,True,41.0
Marco Ruas,73.0,210.0,,Orthodox,1961-01-23,http://ufcstats.com/fighter-details/597db668b01c442c,True,62.0
Rodrigo Ruas,70.0,185.0,,Orthodox,1977-10-06,http://ufcstats.com/fighter-details/94070f6544c4b2a5,True,45.0
Rodolfo Rubio Perez,65.0,145.0,,Orthodox,1987-01-29,http://ufcstats.com/fighter-details/c4731f43693b96b8,True,36.0
Gabe Ruediger,70.0,155.0,,Orthodox,1977-08-29,http://ufcstats.com/fighter-details/ccba80d4820ef557,True,45.0
Eddie Ruiz,67.0,155.0,,Orthodox,1967-06-10,http://ufcstats.com/fighter-details/7b9aa973e5c04624,True,55.0
Mike Russow,73.0,255.0,73.0,Orthodox,1976-09-11,http://ufcstats.com/fighter-details/353de740bb6c7e75,True,46.0
Bas Rutten,73.0,205.0,,Orthodox,1965-02-24,http://ufcstats.com/fighter-details/03688dc3c3af3ac1,True,57.0
Pat Sabatini,68.0,145.0,70.0,Orthodox,1990-11-09,http://ufcstats.com/fighter-details/b8bbdeff718dbb7d,True,32.0
Amir Sadollah,70.0,170.0,75.0,Orthodox,1980-08-27,http://ufcstats.com/fighter-details/2650e2f846a30f64,True,42.0
Frankie Saenz,66.0,135.0,66.0,Orthodox,1980-08-12,http://ufcstats.com/fighter-details/9ba2226646046b63,True,42.0
Saparbeg Safarov,73.0,185.0,78.0,Orthodox,1986-10-14,http://ufcstats.com/fighter-details/88d7b6d8230e1f3f,True,36.0
Tarec Saffiedine,70.0,170.0,70.0,Switch,1986-09-06,http://ufcstats.com/fighter-details/0749d968e932df53,True,36.0
Jason Saggo,71.0,155.0,71.0,Orthodox,1985-11-23,http://ufcstats.com/fighter-details/4ac1ecf8ce59ef23,True,37.0
Benoit Saint Denis,71.0,170.0,73.0,Southpaw,1995-12-18,http://ufcstats.com/fighter-details/c2299ec916bc7c56,True,27.0
Ovince Saint Preux,75.0,205.0,80.0,Southpaw,1983-04-08,http://ufcstats.com/fighter-details/50db8711c70196cd,True,39.0
Lukasz Sajewski,68.0,155.0,71.0,Orthodox,1990-11-27,http://ufcstats.com/fighter-details/fb41432b622992a9,True,32.0
Augusto Sakai,75.0,265.0,77.0,Orthodox,1991-05-09,http://ufcstats.com/fighter-details/441eacbe20e0e80b,True,31.0
Alessio Sakara,72.0,185.0,72.0,Orthodox,1981-09-02,http://ufcstats.com/fighter-details/7f955f71fa2ce7ac,True,41.0
Gokhan Saki,72.0,205.0,73.0,Orthodox,1983-10-19,http://ufcstats.com/fighter-details/4690d47bf725fd98,True,39.0
Kazushi Sakuraba,72.0,185.0,,Southpaw,1969-07-14,http://ufcstats.com/fighter-details/9b5b5a75523728f3,True,53.0
Hayato Sakurai,67.0,168.0,,Orthodox,1975-08-24,http://ufcstats.com/fighter-details/85e26e2468b4e82f,True,47.0
Justin Salas,68.0,155.0,70.0,Southpaw,1982-03-13,http://ufcstats.com/fighter-details/9b198c73e3d0d289,True,40.0
Ivan Salaverry,72.0,185.0,,Orthodox,1971-01-11,http://ufcstats.com/fighter-details/394f55ebca199124,True,52.0
Roman Salazar,67.0,135.0,,Orthodox,1988-02-21,http://ufcstats.com/fighter-details/72c4b253d2f5ebf2,True,34.0
Luis Saldana,71.0,145.0,73.0,Orthodox,1991-01-27,http://ufcstats.com/fighter-details/12e0fdc606f7e274,True,32.0
Muslim Salikhov,71.0,170.0,70.0,Orthodox,1984-06-09,http://ufcstats.com/fighter-details/447f9858ae78f921,True,38.0
Sean Salmon,70.0,185.0,,Southpaw,1977-09-11,http://ufcstats.com/fighter-details/7c0847d3854a95f2,True,45.0
Boston Salmon,69.0,135.0,69.0,Southpaw,1990-11-20,http://ufcstats.com/fighter-details/98e946879ba20c0f,True,32.0
John Salter,73.0,185.0,74.0,Southpaw,1985-03-21,http://ufcstats.com/fighter-details/010986ee359fb863,True,37.0
Josh Samman,75.0,185.0,79.0,Orthodox,1988-03-14,http://ufcstats.com/fighter-details/9deff9e3e8d94d47,True,34.0
Josh Sampo,64.0,125.0,64.0,Orthodox,1984-07-24,http://ufcstats.com/fighter-details/f65dcb22dada2223,True,38.0
Diego Sanchez,70.0,170.0,72.0,Southpaw,1981-12-31,http://ufcstats.com/fighter-details/82e7929bf6c2b689,True,41.0
Eddie Sanchez,74.0,230.0,74.0,Orthodox,1982-11-04,http://ufcstats.com/fighter-details/7f0b4a75ef3039a3,True,40.0
Julian Sanchez,75.0,300.0,,Orthodox,,http://ufcstats.com/fighter-details/c6da1c24fe473418,True,
Joby Sanchez,66.0,135.0,68.0,Orthodox,1991-06-24,http://ufcstats.com/fighter-details/b12fc8a41e82d3a2,True,31.0
Andrew Sanchez,73.0,185.0,74.0,Orthodox,1988-04-08,http://ufcstats.com/fighter-details/fccf811c1e8b01c7,True,34.0
Robert Sanchez,66.0,125.0,66.0,Orthodox,1986-03-05,http://ufcstats.com/fighter-details/546f8599a63c29da,True,36.0
Jesse Sanders,72.0,170.0,,Orthodox,,http://ufcstats.com/fighter-details/59aaf2730b84698a,True,
Luke Sanders,66.0,135.0,67.0,Southpaw,1985-12-12,http://ufcstats.com/fighter-details/96428b9e9bd048ea,True,37.0
Jerrod Sanders,68.0,135.0,72.0,Orthodox,1979-10-01,http://ufcstats.com/fighter-details/12f1b140e248bdb9,True,43.0
Cory Sandhagen,71.0,135.0,70.0,Switch,1992-04-20,http://ufcstats.com/fighter-details/65f09bacd3957381,True,30.0
Joseph Sandoval,67.0,135.0,,Southpaw,1986-05-11,http://ufcstats.com/fighter-details/696002b59f09d73b,True,36.0
Hector Sandoval,62.0,125.0,64.0,Orthodox,1986-07-19,http://ufcstats.com/fighter-details/449c890bd90f3374,True,36.0
Chris Sanford,71.0,185.0,,Orthodox,1968-03-12,http://ufcstats.com/fighter-details/29f935654825331b,True,54.0
Roldan Sangcha'an,64.0,125.0,,Orthodox,1990-12-04,http://ufcstats.com/fighter-details/57887765f831e228,True,32.0
Martin Sano,71.0,170.0,75.0,Orthodox,1991-05-30,http://ufcstats.com/fighter-details/16a64f93f6678b7b,True,31.0
Duda Santana,67.0,145.0,73.0,Orthodox,1996-01-10,http://ufcstats.com/fighter-details/d6ead04919a894b1,True,27.0
Jorge Santiago,73.0,170.0,75.0,Orthodox,1980-10-09,http://ufcstats.com/fighter-details/f8dc544e7077d014,True,42.0
Mike Santiago,70.0,145.0,69.0,Orthodox,1989-07-28,http://ufcstats.com/fighter-details/bc656db347f31e19,True,33.0
Adriano Santos,,,,,,http://ufcstats.com/fighter-details/c6e6926a81adcd00,True,
Iliarde Santos,65.0,125.0,67.0,Orthodox,1980-09-25,http://ufcstats.com/fighter-details/14aa21bc82cac57d,True,42.0
Leonardo Santos,72.0,155.0,75.0,Orthodox,1980-02-05,http://ufcstats.com/fighter-details/9c65736747ca92ec,True,42.0
Thiago Santos,74.0,205.0,76.0,Orthodox,1984-01-07,http://ufcstats.com/fighter-details/dea070ed4a2a8281,True,39.0
Bruno Santos,69.0,185.0,,Orthodox,1987-07-17,http://ufcstats.com/fighter-details/da1d8d76404bb6b5,True,35.0
Taila Santos,66.0,125.0,68.0,Orthodox,1993-06-22,http://ufcstats.com/fighter-details/f7467152fd9f18a2,True,29.0
Daniel Santos,67.0,135.0,,,1995-03-12,http://ufcstats.com/fighter-details/b67d6bacc68d4c92,True,27.0
Nick Sanzo,69.0,190.0,,,,http://ufcstats.com/fighter-details/1d147d4163a6989b,True,
Daniel Sarafian,69.0,185.0,73.0,Orthodox,1982-08-21,http://ufcstats.com/fighter-details/7e47047d0971d566,True,40.0
Diego Saraiva,66.0,155.0,,Orthodox,1982-04-23,http://ufcstats.com/fighter-details/4f4dac51adc1af4f,True,40.0
Yuki Sasaki,74.0,185.0,,Orthodox,1976-09-12,http://ufcstats.com/fighter-details/e5c38954c006f15c,True,46.0
Yuta Sasaki,70.0,125.0,71.0,Southpaw,1989-10-07,http://ufcstats.com/fighter-details/7c3c48cf54a2848e,True,33.0
Paul Sass,72.0,155.0,73.0,Orthodox,1988-08-04,http://ufcstats.com/fighter-details/7b143a54451263d9,True,34.0
Takenori Sato,70.0,170.0,,Southpaw,1985-06-08,http://ufcstats.com/fighter-details/276c60b14b571dd4,True,37.0
Takashi Sato,70.0,170.0,73.0,Southpaw,1990-06-09,http://ufcstats.com/fighter-details/8abac218746e04ca,True,32.0
Townsend Saunders,65.0,170.0,,Orthodox,,http://ufcstats.com/fighter-details/20bd6c3e03c46ee6,True,
Ben Saunders,74.0,170.0,77.0,Orthodox,1983-04-13,http://ufcstats.com/fighter-details/484acc7b0f856ce9,True,39.0
Chris Saunders,68.0,155.0,,,1986-03-11,http://ufcstats.com/fighter-details/b35a159f525764eb,True,36.0
Matt Sayles,67.0,155.0,68.0,Orthodox,1994-02-21,http://ufcstats.com/fighter-details/5b8ba8f5512893b1,True,28.0
Mark Scanlon,69.0,170.0,,Orthodox,,http://ufcstats.com/fighter-details/771b60ff889661c8,True,
Eric Schafer,75.0,185.0,76.0,Orthodox,1977-09-20,http://ufcstats.com/fighter-details/f59f1d3a2ff13edd,True,45.0
Kerry Schall,74.0,265.0,,Orthodox,1971-08-09,http://ufcstats.com/fighter-details/030f08370fd1c2bb,True,51.0
Brendan Schaub,76.0,245.0,78.0,Orthodox,1983-03-18,http://ufcstats.com/fighter-details/89a407032911e27e,True,39.0
Fabiano Scherner,75.0,257.0,,Orthodox,1972-06-30,http://ufcstats.com/fighter-details/0bc7e61d204f2137,True,50.0
Samy Schiavo,68.0,155.0,,Orthodox,1975-12-24,http://ufcstats.com/fighter-details/1208ffc5be6e31ad,True,47.0
Pat Schilling,68.0,145.0,,Orthodox,1988-08-28,http://ufcstats.com/fighter-details/de12bd65e2f46478,True,34.0
Semmy Schilt,82.0,265.0,,Orthodox,1973-10-27,http://ufcstats.com/fighter-details/d5ed14b2153c6ed2,True,49.0
Matt Schnell,68.0,125.0,70.0,Orthodox,1990-01-15,http://ufcstats.com/fighter-details/67c1d46f4ed16f9e,True,33.0
Alex Schoenauer,75.0,185.0,,Orthodox,1976-05-05,http://ufcstats.com/fighter-details/fdfef29ba17ee525,True,46.0
Darrill Schoonover,74.0,220.0,,Orthodox,1985-07-18,http://ufcstats.com/fighter-details/5a558ba1ff5e9121,True,37.0
Nate Schroeder,73.0,230.0,,,,http://ufcstats.com/fighter-details/040426baba8a45e8,True,
Mark Schultz,69.0,200.0,,Orthodox,,http://ufcstats.com/fighter-details/c1684f00c626f4c0,True,
Justin Scoggins,67.0,125.0,66.0,Southpaw,1992-05-02,http://ufcstats.com/fighter-details/9fa568ad2bf2cb0b,True,30.0
Brad Scott,73.0,170.0,76.0,Orthodox,1989-06-24,http://ufcstats.com/fighter-details/34e552520a934063,True,33.0
Neil Seery,64.0,125.0,64.0,Orthodox,1979-08-30,http://ufcstats.com/fighter-details/49a74b9fb2e45fdf,True,43.0
Stefan Sekulic,72.0,170.0,75.0,Southpaw,1992-02-12,http://ufcstats.com/fighter-details/348dff4e03bd18c6,True,30.0
Pete Sell,71.0,170.0,75.0,Orthodox,1982-08-05,http://ufcstats.com/fighter-details/0359313549d230a1,True,40.0
Matthew Semelsberger,73.0,170.0,75.0,Switch,1992-11-23,http://ufcstats.com/fighter-details/4aa58269d0664b5b,True,30.0
Andrei Semenov,72.0,185.0,,Orthodox,1977-06-17,http://ufcstats.com/fighter-details/5f2f0da6fd6a84fd,True,45.0
Mackens Semerzier,69.0,145.0,72.0,Orthodox,1980-11-03,http://ufcstats.com/fighter-details/51b1e2fd9872005b,True,42.0
Ivan Serati,72.0,205.0,,Orthodox,,http://ufcstats.com/fighter-details/b23fca14c7b79935,True,
Matt Serra,66.0,170.0,68.0,Orthodox,1974-06-02,http://ufcstats.com/fighter-details/86dfed7cc24a9fa7,True,48.0
Nick Serra,69.0,170.0,,Orthodox,1978-03-27,http://ufcstats.com/fighter-details/1975c2272ba40e71,True,44.0
Adrian Serrano,68.0,170.0,,,1963-12-23,http://ufcstats.com/fighter-details/e7ec11096eac0282,True,59.0
Fredy Serrano,63.0,125.0,65.0,Orthodox,1979-09-22,http://ufcstats.com/fighter-details/0ccab7c889ede9ea,True,43.0
Dan Severn,74.0,250.0,,Southpaw,1958-06-08,http://ufcstats.com/fighter-details/c670aa48827d6be6,True,64.0
Rosi Sexton,63.0,135.0,,Orthodox,1977-07-16,http://ufcstats.com/fighter-details/5dfe71ade71f3a4b,True,45.0
Edmen Shahbazyan,74.0,185.0,74.0,Orthodox,1997-11-20,http://ufcstats.com/fighter-details/4144798612ef96e5,True,25.0
Liliya Shakirova,64.0,125.0,65.0,Orthodox,1991-10-24,http://ufcstats.com/fighter-details/f300763147320d12,True,31.0
Kamal Shalorus,68.0,155.0,68.0,Orthodox,1972-08-27,http://ufcstats.com/fighter-details/ece280745f8727b8,True,50.0
Ken Shamrock,73.0,205.0,72.0,Orthodox,1964-02-11,http://ufcstats.com/fighter-details/63b65af1c5cb02cb,True,58.0
Frank Shamrock,70.0,185.0,,Orthodox,1972-12-08,http://ufcstats.com/fighter-details/fcaae0385b514f11,True,50.0
Eric Shelton,66.0,125.0,68.0,Orthodox,1991-02-02,http://ufcstats.com/fighter-details/a0c64f272b65d441,True,31.0
Sean Sherk,66.0,155.0,67.0,Orthodox,1973-08-05,http://ufcstats.com/fighter-details/029880cdbf5ca089,True,49.0
Chase Sherman,76.0,250.0,78.0,Orthodox,1989-11-16,http://ufcstats.com/fighter-details/01b352b6a9074d5c,True,33.0
Valentina Shevchenko,65.0,125.0,66.0,Southpaw,1988-03-07,http://ufcstats.com/fighter-details/132deb59abae64b1,True,34.0
Antonina Shevchenko,68.0,125.0,67.0,Southpaw,1984-11-20,http://ufcstats.com/fighter-details/d7338bcb141abd2c,True,38.0
Jake Shields,72.0,170.0,72.0,Orthodox,1979-01-09,http://ufcstats.com/fighter-details/fe435e440b5de0ff,True,44.0
Shunichi Shimizu,65.0,135.0,,Orthodox,1985-01-31,http://ufcstats.com/fighter-details/10657c60ce349e0f,True,37.0
Wade Shipp,75.0,245.0,,Orthodox,1975-02-09,http://ufcstats.com/fighter-details/a9a314cc77d90b6e,True,47.0
Josh Shockley,73.0,155.0,,Orthodox,1989-11-15,http://ufcstats.com/fighter-details/1d36f1ac66cf689d,True,33.0
Josh Shockman,76.0,235.0,,Southpaw,1980-12-29,http://ufcstats.com/fighter-details/821cd80aab70d5f9,True,42.0
Liudvik Sholinian,70.0,135.0,71.0,Orthodox,1990-01-20,http://ufcstats.com/fighter-details/1a54231796e24a3f,True,33.0
Jack Shore,68.0,135.0,71.0,Orthodox,1995-02-06,http://ufcstats.com/fighter-details/b8a85389d115e35a,True,27.0
Sam Sicilia,68.0,145.0,67.0,Orthodox,1986-02-01,http://ufcstats.com/fighter-details/b8aef0faf4ce9b31,True,36.0
Steven Siler,71.0,145.0,70.0,Orthodox,1987-02-15,http://ufcstats.com/fighter-details/d188a3b817860ec6,True,35.0
Assuerio Silva,70.0,241.0,,Orthodox,1974-06-18,http://ufcstats.com/fighter-details/e091482fa6648261,True,48.0
Anderson Silva,74.0,185.0,77.0,Southpaw,1975-04-14,http://ufcstats.com/fighter-details/1f454354805b6f75,True,47.0
Wanderlei Silva,71.0,205.0,74.0,Orthodox,1976-07-03,http://ufcstats.com/fighter-details/a1f6999fe57236e0,True,46.0
Thiago Silva,74.0,205.0,74.0,Orthodox,1982-11-12,http://ufcstats.com/fighter-details/2924886ee9c4c527,True,40.0
Jay Silva,74.0,185.0,,Southpaw,,http://ufcstats.com/fighter-details/53bb0d40905b87c0,True,
Antonio Silva,76.0,264.0,82.0,Orthodox,1979-09-14,http://ufcstats.com/fighter-details/8349d55cdecd393a,True,43.0
Erick Silva,72.0,170.0,74.0,Orthodox,1984-06-21,http://ufcstats.com/fighter-details/5866fc86183a9fb8,True,38.0
Leandro Silva,69.0,155.0,72.0,Orthodox,1985-11-11,http://ufcstats.com/fighter-details/159da492e000afbf,True,37.0
Claudio Silva,71.0,170.0,71.0,Southpaw,1982-09-06,http://ufcstats.com/fighter-details/6f7c616b98e18c29,True,40.0
Wagner Silva,72.0,170.0,,Orthodox,1987-02-07,http://ufcstats.com/fighter-details/fb79582c410d049e,True,35.0
Joaquim Silva,68.0,155.0,69.0,Southpaw,1989-02-05,http://ufcstats.com/fighter-details/ae7fe94f117f98cf,True,33.0
Felipe Silva,72.0,155.0,77.0,Orthodox,1984-05-08,http://ufcstats.com/fighter-details/1b38a2b897f6209c,True,38.0
Bruno Silva,64.0,125.0,65.0,Orthodox,1990-03-16,http://ufcstats.com/fighter-details/294aa73dbf37d281,True,32.0
